dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.703681,14.125000,0.003704,0.148148,2.962963,59.259259,0.000000
0.050000,1.714792,14.125000,0.014815,0.222222,1.481481,-29.629630,0.000000
0.050000,1.733310,14.125000,0.033333,0.370370,2.962963,29.629630,0.000000
0.050000,1.759236,14.125000,0.059259,0.518519,2.962963,-0.000000,0.000000
0.050000,1.792570,14.125000,0.092593,0.666667,2.962963,-0.000000,0.000000
0.050000,1.833310,14.125000,0.133333,0.814815,2.962963,0.000000,0.000000
0.050000,1.881458,14.125000,0.181481,0.962963,2.962963,0.000000,0.000000
0.050000,1.937014,14.125000,0.237037,1.111111,2.962963,-0.000000,0.000000
0.050000,1.999977,14.125000,0.300000,1.259259,2.962963,-0.000000,0.000000
0.050000,2.070347,14.125000,0.370370,1.407407,2.962963,-0.000000,0.000000
0.050000,2.148125,14.125000,0.448148,1.555556,2.962963,0.000000,0.000000
0.050000,2.233310,14.125000,0.533333,1.703704,2.962963,-0.000000,0.000000
0.050000,2.325903,14.125000,0.625926,1.851852,2.962963,0.000000,0.000000
0.050000,2.425903,14.125000,0.725926,2.000000,2.962963,0.000000,0.000000
0.050000,2.533310,14.125000,0.833333,2.148148,2.962963,-0.000000,0.000000
0.050000,2.648125,14.125000,0.948148,2.296296,2.962963,-0.000000,0.000000
0.050000,2.770347,14.125000,1.070370,2.444444,2.962963,0.000000,0.000000
0.050000,2.899977,14.125000,1.200000,2.592593,2.962963,0.000000,0.000000
0.050000,3.037014,14.125000,1.337037,2.740741,2.962963,0.000000,0.000000
0.050000,3.181458,14.125000,1.481481,2.888889,2.962963,-0.000000,0.000000
0.050000,3.333310,14.125000,1.633333,3.037037,2.962963,-0.000000,0.000000
0.050000,3.492570,14.125000,1.792593,3.185185,2.962963,0.000000,0.000000
0.050000,3.659236,14.125000,1.959259,3.333333,2.962963,0.000000,0.000000
0.050000,3.833310,14.125000,2.133333,3.481481,2.962963,-0.000000,0.000000
0.050000,4.018924,14.124965,2.318947,3.712269,4.615752,33.055784,6.279477
0.050000,4.265470,14.117834,2.565596,4.932991,24.414439,395.973745,6.228110
0.050000,4.530616,14.095101,2.831715,5.322376,7.787706,-332.534670,6.166007
0.050000,4.810769,14.051727,3.115205,5.669803,6.948541,-16.783291,6.091736
0.050000,5.100819,13.982481,3.413407,5.964039,5.884702,-21.276793,6.004361
0.050000,5.398723,13.880744,3.728204,6.295943,6.638087,15.067712,5.902197
0.050000,5.699213,13.739655,4.060169,6.639287,6.866874,4.575731,5.784726
0.050000,5.992666,13.554287,4.407265,6.941919,6.052639,-16.284690,5.653753
0.050000,6.265688,13.324816,4.763914,7.132977,3.821174,-44.629309,5.514252
0.050000,6.504637,13.058606,5.121634,7.154411,0.428671,-67.850067,5.373794
0.050000,6.700542,12.768628,5.471586,6.999031,-3.107593,-70.725271,5.240273
0.050000,6.851635,12.468749,5.807378,6.715844,-5.663733,-51.122807,5.119386
0.050000,6.961950,12.169625,6.126195,6.376353,-6.789828,-22.521883,5.013639
0.050000,7.038140,11.877468,6.428123,6.038555,-6.755952,0.677514,4.922944
0.050000,7.087001,11.594945,6.714841,5.734351,-6.084081,13.437408,4.845799
0.050000,7.114322,11.322575,6.988577,5.474726,-5.192506,17.831506,4.780212
0.050000,7.124648,11.059826,7.251530,5.259048,-4.313554,17.579042,4.724223
0.050000,7.126536,10.874800,7.436565,3.700705,-31.166878,-537.066471,4.737439
0.050000,7.133340,10.716371,7.595140,3.171511,-10.583868,411.660185,4.774252
0.050000,7.145872,10.564631,7.747397,3.045130,-2.527627,161.124818,4.816681
0.050000,7.164335,10.421236,7.891976,2.891577,-3.071055,-10.868558,4.865931
0.050000,7.188709,10.288188,8.027238,2.705237,-3.726799,-13.114866,4.923460
0.050000,7.218601,10.167789,8.151291,2.481077,-4.483200,-15.128021,4.990946
0.050000,7.253082,10.062429,8.262151,2.217187,-5.277795,-15.891897,5.070157
0.050000,7.290601,9.974080,8.358137,1.919715,-5.949439,-13.432883,5.162584
0.050000,7.329237,9.903440,8.438651,1.610297,-6.188361,-4.778456,5.268759
0.050000,7.367565,9.848941,8.505279,1.332554,-5.554863,12.669971,5.387278
0.050000,7.406134,9.806423,8.562684,1.148098,-3.689125,37.314763,5.513995
0.050000,7.448528,9.770395,8.618319,1.112700,-0.707950,59.623493,5.642285
0.050000,7.500598,9.736489,8.680456,1.242735,2.600685,66.172703,5.764795
0.050000,7.567960,9.703122,8.755629,1.503458,5.214474,52.275774,5.875719
0.050000,7.653823,9.671142,8.847253,1.832493,6.580693,27.324395,5.972021
0.050000,7.757907,9.642498,8.955207,2.159073,6.531608,-0.981708,6.052750
0.050000,7.876011,9.619036,9.075619,2.408245,4.983428,-30.963610,6.118057
0.050000,8.003078,9.601384,9.203906,2.565739,3.149892,-36.670708,6.169786
0.050000,8.135702,9.589135,9.337094,2.663758,1.960379,-23.790266,6.210579
0.050000,8.271144,9.581554,9.472749,2.713095,0.986728,-19.473024,6.242598
0.050000,8.407293,9.577797,9.608949,2.724004,0.218176,-15.371024,6.267549
0.050000,8.542537,9.577037,9.744196,2.704929,-0.381492,-11.993361,0.003580
0.050000,8.675650,9.578524,9.877316,2.662418,-0.850213,-9.374424,0.018102
0.050000,8.805684,9.581606,10.007387,2.601412,-1.220129,-7.398328,0.028752
0.050000,8.931896,9.585734,10.133667,2.525592,-1.516397,-5.925355,0.036187
0.050000,9.053689,9.590456,10.255551,2.437690,-1.758046,-4.832988,0.040945
0.050000,9.170570,9.595411,10.372537,2.339727,-1.959263,-4.024334,0.043472
