dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.703681,11.875000,0.003704,0.148148,2.962963,59.259259,0.000000
0.050000,1.714792,11.875000,0.014815,0.222222,1.481481,-29.629630,0.000000
0.050000,1.733310,11.875000,0.033333,0.370370,2.962963,29.629630,0.000000
0.050000,1.759236,11.875000,0.059259,0.518519,2.962963,-0.000000,0.000000
0.050000,1.792570,11.875000,0.092593,0.666667,2.962963,-0.000000,0.000000
0.050000,1.833310,11.875000,0.133333,0.814815,2.962963,0.000000,0.000000
0.050000,1.881458,11.875000,0.181481,0.962963,2.962963,0.000000,0.000000
0.050000,1.937014,11.875000,0.237037,1.111111,2.962963,-0.000000,0.000000
0.050000,1.999977,11.875000,0.300000,1.259259,2.962963,-0.000000,0.000000
0.050000,2.070347,11.875000,0.370370,1.407407,2.962963,-0.000000,0.000000
0.050000,2.148125,11.875000,0.448148,1.555556,2.962963,0.000000,0.000000
0.050000,2.233310,11.875000,0.533333,1.703704,2.962963,-0.000000,0.000000
0.050000,2.325903,11.875000,0.625926,1.851852,2.962963,0.000000,0.000000
0.050000,2.425903,11.875000,0.725926,2.000000,2.962963,0.000000,0.000000
0.050000,2.533310,11.875000,0.833333,2.148148,2.962963,-0.000000,0.000000
0.050000,2.648125,11.875000,0.948148,2.296296,2.962963,-0.000000,0.000000
0.050000,2.770347,11.875000,1.070370,2.444444,2.962963,0.000000,0.000000
0.050000,2.899977,11.875000,1.200000,2.592593,2.962963,0.000000,0.000000
0.050000,3.037014,11.875000,1.337037,2.740741,2.962963,0.000000,0.000000
0.050000,3.181458,11.875000,1.481481,2.888889,2.962963,-0.000000,0.000000
0.050000,3.333310,11.875000,1.633333,3.037037,2.962963,-0.000000,0.000000
0.050000,3.492570,11.875000,1.792593,3.185185,2.962963,0.000000,0.000000
0.050000,3.659236,11.875000,1.959259,3.333333,2.962963,0.000000,0.000000
0.050000,3.833310,11.875000,2.133333,3.481481,2.962963,-0.000000,0.000000
0.050000,4.010580,11.874980,2.310603,3.545389,1.278149,-33.696287,6.279477
0.050000,4.141613,11.871246,2.441690,2.621734,-18.473089,-395.024745,6.228110
0.050000,4.267569,11.860530,2.568100,2.528215,-1.870392,332.053936,6.166007
0.050000,4.382635,11.842836,2.684518,2.328360,-3.997104,-42.534237,6.091736
0.050000,4.481562,11.819377,2.786189,2.033419,-5.898808,-38.034083,6.004361
0.050000,4.562088,11.792074,2.871218,1.700581,-6.656764,-15.159129,5.902197
0.050000,4.623549,11.763435,2.939024,1.356116,-6.889308,-4.650864,5.784726
0.050000,4.668123,11.735473,2.991642,1.052361,-6.075092,16.284307,5.653753
